age,income,home_ownership,emplyment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,loan_approval_status
40.0,182004,RENT,3,EDUCATION,35000,8.0,0.19,N,11,0
40.0,90000,MORTGAGE,3,HOMEIMPROVEMENT,35000,12.42,0.39,N,14,0
40.0,131004,MORTGAGE,9,VENTURE,30000,7.9,0.23,N,13,0
40.0,150000,MORTGAGE,9,DEBTCONSOLIDATION,25000,11.89,0.17,N,11,0
40.0,132000,MORTGAGE,3,HOMEIMPROVEMENT,25000,16.82,0.22,N,17,0
40.0,80000,MORTGAGE,2,DEBTCONSOLIDATION,25000,10.25,0.31,N,11,0
40.0,80000,MORTGAGE,9,VENTURE,25000,18.67,0.3,N,17,0
40.0,60000,OWN,5,VENTURE,25000,11.97,0.42,Y,12,0
40.0,85000,MORTGAGE,3,HOMEIMPROVEMENT,25000,12.18,0.29,N,16,0
40.0,69996,OWN,19,EDUCATION,25000,18.25,0.36,N,14,0
40.0,186996,RENT,18,DEBTCONSOLIDATION,25000,6.99,0.12,N,17,0
40.0,120000,MORTGAGE,9,PERSONAL,25000,10.75,0.21,N,12,0
40.0,179000,MORTGAGE,7,VENTURE,25000,10.99,0.14,N,17,0
40.0,140000,MORTGAGE,2,MEDICAL,24500,11.83,0.17,N,14,0
40.0,210000,RENT,1,MEDICAL,24000,10.65,0.11,N,15,0
40.0,150000,MORTGAGE,2,PERSONAL,24000,11.83,0.16,N,13,0
40.0,170000,MORTGAGE,1,HOMEIMPROVEMENT,21000,14.72,0.12,N,12,0
40.0,125000,MORTGAGE,1,PERSONAL,21000,6.99,0.17,N,16,0
40.0,120000,OWN,4,DEBTCONSOLIDATION,20000,15.95,0.17,N,15,0
40.0,60000,MORTGAGE,13,HOMEIMPROVEMENT,20000,14.54,0.33,N,14,0
40.0,80000,OWN,10,PERSONAL,20000,18.62,0.25,N,14,0
40.0,72000,RENT,3,HOMEIMPROVEMENT,20000,13.47,0.28,N,16,0
40.0,78000,MORTGAGE,3,EDUCATION,20000,11.83,0.26,N,15,0
40.0,200000,MORTGAGE,3,VENTURE,20000,11.86,0.1,N,14,0
40.0,190000,OWN,0,EDUCATION,20000,6.03,0.1,N,14,0
40.0,130000,RENT,3,HOMEIMPROVEMENT,20000,14.09,0.15,N,13,0
40.0,109720,MORTGAGE,19,PERSONAL,20000,10.75,0.18,N,14,0
40.0,80000,MORTGAGE,5,MEDICAL,20000,13.23,0.25,N,12,0
40.0,98000,MORTGAGE,22,HOMEIMPROVEMENT,20000,9.88,0.2,N,16,0
40.0,96000,MORTGAGE,18,HOMEIMPROVEMENT,18000,15.27,0.19,N,12,0
40.0,100000,MORTGAGE,6,EDUCATION,18000,6.99,0.18,N,14,0
40.0,60000,MORTGAGE,2,MEDICAL,18000,10.37,0.31,N,14,0
40.0,550000,MORTGAGE,5,VENTURE,18000,11.12,0.03,N,13,0
40.0,142000,MORTGAGE,2,EDUCATION,18000,12.99,0.13,Y,14,0
40.0,80000,RENT,5,HOMEIMPROVEMENT,18000,10.99,0.23,N,16,0
40.0,79872,MORTGAGE,4,DEBTCONSOLIDATION,18000,12.68,0.23,N,12,0
40.0,50000,RENT,3,MEDICAL,18000,10.25,0.36,N,15,0
40.0,120000,MORTGAGE,4,PERSONAL,17625,7.49,0.15,N,17,0
40.0,108928,MORTGAGE,0,HOMEIMPROVEMENT,17600,14.27,0.15,Y,14,0
40.0,75000,MORTGAGE,0,VENTURE,17600,6.76,0.23,N,17,0
40.0,78301,MORTGAGE,5,MEDICAL,17000,6.62,0.22,N,13,0
40.0,54400,MORTGAGE,3,HOMEIMPROVEMENT,17000,12.99,0.28,Y,13,0
40.0,60000,RENT,0,EDUCATION,17000,11.71,0.28,N,13,0
40.0,70000,MORTGAGE,18,DEBTCONSOLIDATION,17000,11.12,0.24,N,12,0
40.0,60000,MORTGAGE,18,VENTURE,16750,7.88,0.28,N,14,0
40.0,200000,RENT,5,PERSONAL,16000,11.14,0.08,N,13,0
40.0,110000,MORTGAGE,5,EDUCATION,16000,10.25,0.15,N,13,0
40.0,67000,RENT,12,VENTURE,16000,9.99,0.24,N,13,0
40.0,56472,RENT,4,EDUCATION,15775,14.42,0.28,N,15,0
40.0,75000,MORTGAGE,0,HOMEIMPROVEMENT,15000,8.94,0.2,N,17,0
40.0,60000,MORTGAGE,2,HOMEIMPROVEMENT,15000,8.94,0.25,N,13,0
40.0,58000,MORTGAGE,9,HOMEIMPROVEMENT,15000,6.17,0.26,N,14,0
40.0,77000,MORTGAGE,5,MEDICAL,15000,12.21,0.19,N,14,0
40.0,50000,RENT,2,VENTURE,15000,11.26,0.3,N,15,0
40.0,60000,RENT,2,MEDICAL,15000,13.11,0.25,Y,14,0
40.0,150000,RENT,8,HOMEIMPROVEMENT,15000,10.25,0.1,N,13,0
40.0,60000,RENT,4,HOMEIMPROVEMENT,15000,14.96,0.25,Y,16,0
40.0,110000,RENT,2,DEBTCONSOLIDATION,15000,5.42,0.14,N,12,0
40.0,90000,RENT,1,MEDICAL,15000,14.26,0.17,Y,15,0
